CPL,V,F,D,Ra
28260,20,0.05,0.3,3.01
37491.6,20,0.15,0.6,5.85
42804.48,20,0.25,0.9,5.98
46357.16571,20,0.35,1.1,7.75
48890.09905,20,0.45,1.3,9.13
58310.09905,23,0.15,0.3,5.3
63849.05905,23,0.25,0.6,5.99
67643.97333,23,0.35,0.9,5.54
70407.17333,23,0.45,1.1,8.07
93203.57333,23,0.05,1.3,5.11
98855.57333,26,0.25,0.3,4.78
102811.9733,26,0.35,0.6,8.29
105763.5733,26,0.45,0.9,5.71
130632.3733,26,0.05,1.1,3.9
138231.1733,26,0.15,1.3,5.95
142268.3162,29,0.35,0.3,6.19
145345.5162,29,0.45,0.6,7.04
171909.9162,29,0.05,0.9,3.7
180199.5162,29,0.15,1.1,4.69
184758.7962,29,0.25,1.3,5.06
187898.7962,32,0.45,0.3,4.56
215593.5962,32,0.05,0.6,4.01
224448.3962,32,0.15,0.9,3.55
229422.1562,32,0.25,1.1,4.45
232678.7848,32,0.35,1.3,5.84
299372.3848,32,0.25,0.3,6.27
598834.1848,32,0.05,0.9,4.97
649890.5848,20,0.25,0.9,7.63
864383.9848,32,0.05,0.3,3.01
1234903.985,20,0.05,0.9,6.9
1565420.385,32,0.05,0.9,2.99
1858193.985,20,0.05,0.3,3.95
1888205.407,26,0.45,1.1,2.69
2120314.207,32,0.05,0.9,3.53
2490834.207,20,0.05,1.1,5.7
2816577.807,26,0.05,1.1,4.59
2872419.567,26,0.25,0.9,5.63
3131281.167,32,0.05,0.3,3.07
3181697.007,32,0.25,0.3,5.47
3465427.407,32,0.05,0.9,3.89
3516747.567,26,0.25,0.9,6.85
3753001.167,32,0.05,0.9,4.56
3796182.447,26,0.25,1.1,5.38
3845241.807,26,0.25,0.9,6.57
3890231.727,20,0.25,0.9,6.97
